Acid_Techno;Dub_Techno;French_Techno;Hardstyle_Techno;Melodic_Techno;Minimal_Techno;Tribal_Techno
2,074564971178644e-11;-9,871955149387876e-11;-4,043839492607752e-11;1,685223671004849e-11;8,443618929819348e-12;1,2674997579595688e-11;9,091434176593742e-12
19,955511516274797;-143,73614245205584;-6,289459276990531;-11,966521556267198;38,09642518876627;30,099675783620093;38,34115826636826
0,12978310418468286;11,21049706342837;12,121220737763629;-10,266470247049877;2,1232154074645737;2,6656953813616298;-3,6083223626490035
31,910086956091607;-10,990582123211176;18,364979155890346;41,902113865228;-40,90680613343575;-15,414445356224084;-140,5880782575319
57,413690181668386;8,13169728521356;106,03059349845059;66,77623116460067;-101,43671173631384;-59,35739058243383;-137,59253860278523
-57,90056525031798;361,9367299534786;-40,84258888411539;-108,34439852510437;19,374864160333633;-8,204189153685535;-7,072375852608177
60,39104980823215;-236,19062049819325;-30,904712195256447;75,85919075216228;-28,794787492777527;-6,955283346126535;40,31883871755709
71,73755804070574;-280,74444426329757;-117,3222454501703;47,5316574856461;15,616696571250175;55,45150761895021;-34,96285838599949
-70,459122433353;485,0763725717023;17,711585416995828;-18,775123116119097;-62,62622972214317;-78,87221452721882;-196,2776338302976
0,5079695987014964;-16,92750614279733;-0,2963470673717493;2,814801423872373;2,654354089133651;1,5439842491998246;5,1596646568846225
-25,97514008723661;200,98548654766077;-7,601335889516812;-68,6626399835751;17,92764303381254;-9,580671559955519;-37,43565181133841
-72,31759396013658;467,34826322439693;155,69553135417843;-89,58380800176533;-34,54989596300424;-46,2579039892404;-146,54525041808307
81,6690701417942;-452,8927005381032;-174,45968473625217;141,81895418384013;-4,780885878919684;32,39422402997092;42,347067904855216
-19,231316924285075;55,63439119220387;-219,91305553255486;-37,38930055288786;58,05695722010197;38,580561143740894;36,936386409334915
5,277726476738308;-35,15508179576378;115,92710092312981;-7,484465889139054;-15,77745487719358;-14,617210856801206;77,22726082721087
-0,007816345018270996;-0,3198283963703022;-0,22739148800079523;0,5985820088837;-0,2849951215989477;-0,2765408247852975;-0,02533287494232644
1,8834695573158364;13,917251726891857;7,3175812426284805;-2,7565506653643554;-4,075446955551593;-1,7112150032990923;-11,459862095248072
4,761803851841439;29,218666212117984;12,632312129925426;-4,92853987243437;-10,564870668959406;-4,347156890599837;-17,053423772702548
-6,993236840971144;58,04522124943401;7,01052873275385;-16,861446817839564;-1,3122376697962492;-3,27040769691729;-4,149966668902463
27,017555290654354;-116,65191033606438;-16,584662766930556;38,16878208932284;-12,661285977723743;-0,6075937265907912;17,96557528216236
36,87872215824901;-110,05410682525746;-30,24588060524942;22,235414321396746;-4,944876495886824;14,542784915773671;-23,17165983686305
-66,43655142345396;504,37260987892995;-56,258534791997256;-109,95763488207326;-13,07921839943757;-20,603219999630056;-73,1172723119076
32,751778671368584;3,0336652353674434;37,97440634979078;82,64037480576766;-80,06515108930384;-69,50613460871213;-91,99275039686542
-65,39468480952033;395,1275769230833;43,652320983988375;-99,93753958444952;7,980783545524637;-20,85179592256145;-105,97432745197536
-33,23804850269832;115,65351747239772;-99,16208865286002;-47,22984438704303;51,63064146633112;20,114575447739803;-49,69571061092417
4,771761525541392;-41,29418204574863;128,67223335974458;30,1716471501221;-33,849333926163176;-23,583817996414215;-9,464241996875252
-12,643272348001073;27,060448821896905;-41,530931466792474;-12,590314828745486;5,567718497557337;15,590103306319758;57,817607504227716
11,075891014460616;-176,0678855516314;34,64929647048403;15,482617709204725;29,101724553287013;1,443438124486676;76,83852062641238
-15,46538994289533;129,00965696839953;-101,35007285876138;-16,371850070667975;-7,869245633212695;11,914184514324525;0,9126166945519987
66,14041690436963;-449,22524848612414;-130,75050837702844;6,442640916270527;98,59764699239572;77,54282452927522;141,93997161212624
4,372174325282936;122,40074774300524;24,375364454517463;13,814131572185241;-52,92508354217363;-21,743892752997496;-87,19517196947982
-33,77436313048274;186,2262734072149;132,5852197950499;-35,877670607515086;-18,86041757425356;-39,551337243016505;-41,39338726242783
-39,36876355388727;254,49559848434504;-97,71964910990629;-52,61199361263538;-0,9363837976602998;-2,7484201124610843;15,274406717535925
-4,512141495344761;75,25296576292398;32,912538358153;10,203020392717084;-32,89285428888881;-17,28848956465474;-35,138527705604275
28,473007303666705;-57,70117117559902;-33,19043780518419;70,7730806446193;-46,145963125582036;-25,675338697785925;-53,16731979506832
-6,353841540202679;135,2796613654598;-18,840448763505496;16,800225924942254;-35,599986759489724;-29,645362466391507;-102,741565235161
-14,151441750963825;142,5370504078633;3,8168328351288037;-10,089978848099355;-28,36069672861247;-21,300716333089017;-15,09239098497991
-2,331840520079475;11,488751879962518;3,6271191897572383;-1,769123848203432;-0,4730314806832512;-1,9978336331084525;-2,9251364284564487
-99,43575997052602;322,4904174136744;89,07549391489384;-98,02510022540397;33,28870707303282;-12,111968263427523;30,754627253134704
-33,18032310988976;47,93286434693351;162,01480205029284;-14,632771952413083;-24,19336031596817;-34,49937479927225;157,82712262260165
46,138787130837414;-262,592188890504;-45,49795457010514;11,000195331966514;36,25787611732182;33,170136541328276;110,04430924002835
-141,52845507227758;370,04556391838406;208,13103604233456;-149,70117850060205;74,0960220422067;-3,8268110140641927;40,13828211917091
-95,55869546608841;216,79506850651742;80,63846994416667;-48,68475027538089;32,56425688184898;-48,70358224920497;89,55085732998155
0,061900007581518875;-0,06097657010842836;0,06157822365352185;-0,15040336304076085;0,07552665367759553;0,07125501905070351;-0,0055823557948391144
