,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,5pgnIy4yFo85X5TtNfEnbW,Abataka,2009,0.591,4,125.419,-7.584,0.906,0.76,0.98,Minor
1,0dS7kchwR8YEA7CRiAD0ML,Volar La Pluma - Edit,2019,0.3,4,124.005,-7.625,0.74,0.871,0.423,Major
2,4Vaj9RIpXOgelHg3noZbd5,Djorolen - THEMBA's Herd Remix,2019,0.713,4,119.971,-10.256,0.864,0.711,0.21,Minor
3,1U05Y95SGVVugCljwJSbzr,Wish You Were Here (feat. Msaki) - Bedouin Remix,2019,0.96,4,123.003,-12.055,0.646,0.746,0.125,Minor
4,5YbEffHlqnTAnBnNJYM9OH,TELABAKATU,2022,0.382,4,125.998,-6.031,0.787,0.671,0.173,Minor
5,1EY9X1Zw6gZPIqBY8Fy2ik,"Sound Pressure, Pt. 3 - Mixed",2021,0.947,4,133.045,-7.366,0.898,0.775,0.458,Minor
6,2IQWRwyuMr8u5wimso0b7x,Webaba,2010,0.277,4,121.998,-9.329,0.753,0.767,0.515,Major
7,2GharqHOUuFxFtkseVmiP2,Racatin,2017,0.841,4,117.998,-8.143,0.765,0.761,0.0466,Major
8,32HOltGzLd5xEglJMHs4ou,Vulcano,2001,0.852,4,139.205,-6.901,0.945,0.777,0.891,Major
