,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,4Ace8alexaAj3QHwprUqQq,"Rave, Rinse, Repeat",2021,0.0101,4,172.033,-2.917,0.995,0.462,0.107,Major
1,7seOXBlflZC8UR8bNi27u2,Moskau,2020,0.00352,4,150.027,-3.303,0.949,0.504,0.49,Minor
2,1aBi2cwSWOaYz0kC0P27ok,Nachbarn,2020,6.24e-06,4,99.977,-4.93,0.958,0.543,0.175,Minor
3,4vFc0O97l8pf9DajtRcLmA,It’s A Dream 2K19,2019,0.401,4,200.08,-4.912,0.949,0.237,0.0396,Major
4,4lLadEF1eER4YMi6I486hu,Ganjaman - Maissouille Remix,2023,0.0042,3,160.018,-2.72,0.983,0.664,0.607,Major
5,1EhyAut3iIEaVInBzblBsT,Don't Care,2016,0.088,4,150.011,-3.458,0.934,0.468,0.0708,Major
6,667VsfRZBPcI42mfFvgYpl,Through The Night,2018,0.0047,4,150.029,-6.171,0.672,0.511,0.253,Minor
7,4SR46lHTitWMTzRTwsFIa6,Irrenhaus,2021,0.0,4,154.953,-3.898,0.878,0.446,0.233,Minor
