,id,name,release_year,instrumentalness,time_signature,tempo,loudness,energy,danceability,valence,mode
0,0c9MTfnssGoNXUgmsaE5XU,Open Eye Signal - Remaster 2023,2013,0.782,3,122.504,-8.389,0.679,0.8,0.207,Major
1,2xaLqLLdLcIytyHwKKoRRu,Chhulub - Mixed - Cabanne Remix,2019,0.957,4,130.01,-11.336,0.924,0.802,0.653,Major
2,4QQNQa70pVobxroOfajIN7,Odd Frames,2020,0.9,4,126.982,-12.403,0.5,0.805,0.718,Major
3,5458stfe17muZ4Fl5je90o,Go Crazy - Original Mix,2020,0.897,4,127.007,-11.595,0.764,0.808,0.441,Minor
4,6D0hO9LUSAopRLki7GOSSm,One Last,2019,0.908,4,130.006,-8.223,0.622,0.834,0.503,Minor
5,2SmSWHKpzoGJiVQoENDJoK,Groove Junction,2023,0.721,4,127.05,-7.338,0.956,0.794,0.668,Minor
6,5PRdzrncmga9ieUFVrlE41,Of My Mind,2016,0.536,4,121.05,-11.511,0.486,0.717,0.423,Minor
7,2KeaniyEzZlYZzR1qodSso,FALLING RIZLAS,2017,0.941,4,114.852,-15.898,0.101,0.442,0.0655,Minor
